[36400/100000] batch loss : 0.8568 | time : 4.74s
[36500/100000] batch loss : 0.6801 | time : 4.72s
[36600/100000] batch loss : 1.4445 | time : 4.76s
[36700/100000] batch loss : 1.1238 | time : 4.71s
[36800/100000] batch loss : 1.0744 | time : 4.71s
[36900/100000] batch loss : 1.0409 | time : 4.68s
[37000/100000] batch loss : 1.1683 | time : 4.70s
[37100/100000] batch loss : 1.2315 | time : 4.72s
[37200/100000] batch loss : 1.5831 | time : 4.70s
[37300/100000] batch loss : 0.7993 | time : 4.71s
[37400/100000] batch loss : 0.8569 | time : 4.70s
[37500/100000] batch loss : 0.5130 | time : 4.71s
[37600/100000] batch loss : 1.2081 | time : 4.65s
[37700/100000] batch loss : 0.6788 | time : 4.65s
[37800/100000] batch loss : 0.4024 | time : 4.62s
[37900/100000] batch loss : 0.4717 | time : 4.64s
[38000/100000] batch loss : 0.7658 | time : 5.04s
[38100/100000] batch loss : 0.9258 | time : 4.71s
[38200/100000] batch loss : 1.1751 | time : 4.73s
[38300/100000] batch loss : 0.3627 | time : 4.68s
[38400/100000] batch loss : 0.7500 | time : 4.69s
[38500/100000] batch loss : 1.6028 | time : 4.76s
[38600/100000] batch loss : 0.7273 | time : 4.73s
[38700/100000] batch loss : 0.7259 | time : 5.25s
[38800/100000] batch loss : 0.9338 | time : 5.50s
[38900/100000] batch loss : 0.5655 | time : 5.50s
[39000/100000] batch loss : 1.0690 | time : 5.42s
[39100/100000] batch loss : 1.8708 | time : 5.42s
[39200/100000] batch loss : 0.8511 | time : 4.72s
[39300/100000] batch loss : 0.7609 | time : 4.72s
[39400/100000] batch loss : 1.6534 | time : 4.72s
[39500/100000] batch loss : 1.2748 | time : 4.73s
[39600/100000] batch loss : 0.8613 | time : 4.70s
[39700/100000] batch loss : 2.2179 | time : 4.71s
[39800/100000] batch loss : 1.1384 | time : 4.70s
[39900/100000] batch loss : 1.5496 | time : 4.71s
[40000/100000] batch loss : 1.8525 | time : 4.76s
[40001/100000] mean test loss : 7.0775 -> 1.1348 by 1 grad steps
A check point has been generated : checkpoints/iter_40000.pt
[40100/100000] batch loss : 0.7430 | time : 6.08s
[40200/100000] batch loss : 0.9933 | time : 4.73s
[40300/100000] batch loss : 0.3885 | time : 4.71s
[40400/100000] batch loss : 1.9051 | time : 4.71s
[40500/100000] batch loss : 1.0029 | time : 4.72s
[40600/100000] batch loss : 2.7984 | time : 4.68s
[40700/100000] batch loss : 0.7677 | time : 4.76s
[40800/100000] batch loss : 0.3582 | time : 4.69s
[40900/100000] batch loss : 0.8585 | time : 4.73s
[41000/100000] batch loss : 0.7405 | time : 4.71s
[41100/100000] batch loss : 1.0898 | time : 4.71s
[41200/100000] batch loss : 0.6299 | time : 5.01s
[41300/100000] batch loss : 0.7048 | time : 4.96s
[41400/100000] batch loss : 1.0317 | time : 5.03s
[41500/100000] batch loss : 1.1094 | time : 4.96s
[41600/100000] batch loss : 1.2937 | time : 4.92s
[41700/100000] batch loss : 0.9916 | time : 5.08s
[41800/100000] batch loss : 0.5217 | time : 4.93s
[41900/100000] batch loss : 0.9929 | time : 4.95s
[42000/100000] batch loss : 0.9096 | time : 4.92s
[42100/100000] batch loss : 2.7207 | time : 4.94s
[42200/100000] batch loss : 1.1494 | time : 4.91s
[42300/100000] batch loss : 2.0550 | time : 5.03s
[42400/100000] batch loss : 1.5549 | time : 4.96s
[42500/100000] batch loss : 0.8001 | time : 5.06s
[42600/100000] batch loss : 1.1458 | time : 5.07s
[42700/100000] batch loss : 0.9623 | time : 4.89s
[42800/100000] batch loss : 1.3685 | time : 4.95s
[42900/100000] batch loss : 1.2502 | time : 4.92s
[43000/100000] batch loss : 1.5872 | time : 4.96s
[43100/100000] batch loss : 2.3265 | time : 4.96s
[43200/100000] batch loss : 0.9093 | time : 4.97s
[43300/100000] batch loss : 1.0496 | time : 4.95s
[43400/100000] batch loss : 2.2972 | time : 4.94s
[43500/100000] batch loss : 0.5857 | time : 4.94s
[43600/100000] batch loss : 0.7598 | time : 5.33s
[43700/100000] batch loss : 0.9223 | time : 5.64s
[43800/100000] batch loss : 1.4710 | time : 5.73s
[43900/100000] batch loss : 1.3091 | time : 5.79s
[44000/100000] batch loss : 1.0943 | time : 5.36s
[44100/100000] batch loss : 1.1541 | time : 5.08s
[44200/100000] batch loss : 0.7316 | time : 4.84s
[44300/100000] batch loss : 2.0451 | time : 4.84s
[44400/100000] batch loss : 0.5282 | time : 4.67s
[44500/100000] batch loss : 0.8982 | time : 4.90s
[44600/100000] batch loss : 1.1159 | time : 4.79s
[44700/100000] batch loss : 0.8829 | time : 4.75s
[44800/100000] batch loss : 1.8800 | time : 4.72s
[44900/100000] batch loss : 1.2510 | time : 4.98s
[45000/100000] batch loss : 0.8623 | time : 4.86s
[45100/100000] batch loss : 0.4763 | time : 5.00s
[45200/100000] batch loss : 1.1639 | time : 4.40s
[45300/100000] batch loss : 0.9307 | time : 4.03s
[45400/100000] batch loss : 1.4870 | time : 4.25s
[45500/100000] batch loss : 1.9778 | time : 4.91s
[45600/100000] batch loss : 1.1748 | time : 4.98s
[45700/100000] batch loss : 1.1008 | time : 4.75s
[45800/100000] batch loss : 2.0721 | time : 4.84s
[45900/100000] batch loss : 0.9518 | time : 4.86s
[46000/100000] batch loss : 0.7633 | time : 4.53s
[46100/100000] batch loss : 0.4842 | time : 4.43s
[46200/100000] batch loss : 0.9060 | time : 4.69s
[46300/100000] batch loss : 1.0753 | time : 4.87s
[46400/100000] batch loss : 1.6337 | time : 4.85s
[46500/100000] batch loss : 0.7891 | time : 4.99s
[46600/100000] batch loss : 1.0565 | time : 4.91s
[46700/100000] batch loss : 0.5222 | time : 4.61s
[46800/100000] batch loss : 1.2996 | time : 4.45s
[46900/100000] batch loss : 0.9149 | time : 4.04s
[47000/100000] batch loss : 0.8076 | time : 4.37s
[47100/100000] batch loss : 1.3313 | time : 4.44s
[47200/100000] batch loss : 0.8974 | time : 4.35s
